Course	Room	Teacher	Time	Students
445	MARSHAUD	212	1	238 947 1131 928 598 999 129 1023
500	HLS108	163	9	340 645 332 1000 551 1054 1059 148 709 248 71 1140 664 697 998 410 367 506 893 355 672 1160
659	HLS105	88	10	644 558 147 686 133 130 7 625 182 8 127 839 389 65 69 503 936 212 536 827 224 722
108	MARSHAUD	27	1	525 599 337 333 510 176 181 659 127 1128 468 961 679 115 1022 474
204	STO10	27	8	1145 712 593 102 33 858 137 401 379 580 241 864 321 997 126 383 384 1107 909 701 303 565 41
91	MARSHAUD	77	1	816 917 432 942 490 20 28 1008 887 383 570 55 535 1035
29	CHSAUD	27	4	736 198 272 1015 238 946 944 683 629 84 322 778 1048 1181 574 254 961 1152 1094 537 116 113 727 49 1113
374	HLS108	30	9	715 606 297 738 746 24 393 455 974 973 321 364 381 735 960 1091 877 800 51 302 853 1039 608 399 5
308	HLS109	116	6	528 95 558 232 138 707 797 795 924 180 863 756 328 991 67 256 1129 1108 353 51 774 980 307 561 158 470
412	ESTW307		7	347 710 445 109 746 555 24 370 511 517 971 1047 496 388 604 259 500 908 537 824 225 222 152 608 1111 484
45	HLS105	180	10	1145 718 619 195 556 614 143 768 589 208 696 923 496 388 570 259 968 1071 50 63 983 1164 399 958 1111 472
546	ESTW307	56	7	714 1103 1064 529 744 992 617 688 686 25 84 979 179 831 322 70 662 312 368 605 60 469 876 52 535 112
549	ESTW309	107	11	714 445 905 1066 555 554 232 912 684 1069 372 7 1080 184 12 70 694 414 3 783 1073 288 428 824 1166 471
618	HLS108	239	9	1064 199 270 527 36 337 992 377 793 580 1136 11 10 18 79 413 169 1129 801 1031 306 824 750 224 1024 724
62	HLS108	29	9	810 712 710 198 522 108 91 137 379 395 241 884 929 1011 418 832 833 1102 532 983 113 1164 1068 565 157 749
714	HLS105	56	10	813 736 599 1120 1 940 927 937 704 81 926 456 185 1122 884 202 695 68 806 1073 268 701 423 755 227 47
209	MARSHAUD	189	1	915 594 290 192 1002 792 1136 1088 10 209 2 602 165 213 767 1076 1164 1026 635 398 1113
454	STO10	239	8	294 852 900 815 742 1056 145 681 89 86 246 615 62 320 655 661 695 540 123 389 788 1109 1034 1159 1180 1112
514	IRADEAREID	119	3	1061 1065 270 100 92 237 374 17 18 326 1043 805 381 385 162 1107 1105 1153 1083 54 532 154 749
631	SHA410	185	5	196 439 742 147 1005 395 589 519 518 977 883 208 1045 668 664 692 697 698 836 1174 1033 283 261 985 115 159 477
98	HLS108	72	9	817 910 1013 133 22 403 409 626 179 19 209 122 124 1134 830 254 603 469 935 1074 4 1093 987 855 222 49 485
192	ESTW307	190	7	290 273 1014 330 1137 173 1122 320 121 129 416 417 782 789 65 466 1108 872 265 268 54 53 1171 827 1024 1167 44 486
573	HLS109	33	6	1144 816 913 522 431 147 1005 406 1176 798 245 247 518 1012 779 1045 543 1016 410 934 356 1074 539 953 918 567 1117 477
63	ESTW309	134	11	1144 1063 1135 103 1005 768 406 1176 586 519 459 620 1089 1012 1043 1143 1016 923 418 830 1109 218 1033 50 422 1068 472 478
365	ESTW307	145	7	444 431 235 146 147 1007 709 395 798 245 519 518 977 883 1032 1045 1143 698 543 1016 834 575 460 934 1033 673 539 985 918
295	MARSHAUD	189	1	197 104 25 629 455 650 864 699 542 787 254 874 806 428 420 1161
172	HLS108	182	9	1183 1162 290 190 35 1053 614 495 584 924 170 656 253 662 542 127 861 255 467 9 891 647 210 1092 1022 609 1161 47 44 43 638
344	HLS105	95	10	915 196 108 107 1156 91 490 393 971 864 887 1047 666 997 418 499 572 908 909 879 877 800 763 1093 533 530 538 987 773 1127 152 484
585	MARSHAUD	9	1	291 430 819 83 799 243 459 179 62 1032 1141 667 360 959 1072 52 539 113 40 1185
548	STO10	18	8	343 810 106 645 332 1000 741 551 230 1054 949 491 601 1110 883 1140 664 697 998 410 250 164 600 893 355 671 672 988 841 821 1160 159 46
563	STO16	296	12	716 1103 35 436 335 26 933 1060 170 656 978 1125 12 759 662 1128 1010 318 1177 861 380 385 258 647 767 1079 282 537 981 823 1127 1037 154
704	MARSHAUD	43	1	606 623 405 408 758 371 377 653 880 204 544 783 891 429 1127 1046 44 43
297	MARSHAUD	292	1	191 436 854 669 573 576 501 1079 675 754 153
7	STO10	190	8	715 1015 338 1098 131 135 378 371 706 791 185 660 694 548 868 999 313 1181 783 163 1155 898 354 214 1097 674 57 52 429 304 853 562 563 1022 482
328	MARSHAUD	194	1	911 910 526 142 149 373 85 171 971 756 1041 120 366 365 730 630 870 1158 897 1087 674 267 58 57 303 1029 477
478	STO10	282	8	813 592 275 447 37 90 141 912 687 1069 975 184 13 17 885 752 756 698 125 127 508 507 631 637 9 891 894 359 215 4 280 777 111 423 425 895 847 1165 1046 1184 1113 479
